"Bestaande koopwoningen; verkoopprijzen prijsindex 2015 = 100";;;;;;;;
;;;;;;;;
;Onderwerp;;;;;;;
;Prijsindex bestaande koopwoningen;Ontwikkeling  t.o.v. voorgaande periode;Ontwikkeling  t.o.v. een jaar eerder;||Aantal verkochte woningen;Ontwikkeling  t.o.v. voorgaande periode;Ontwikkeling  t.o.v. een jaar eerder;Gemiddelde verkoopprijs;Totale waarde verkoopprijzen
Perioden;2015 = 100;%;%;aantal;%;%;euro;mln euro
2004;102,6;4,3;4,3;191941;-0,8;-0,8;212723;40830
2005;106,6;3,9;3,9;206629;7,7;7,7;222706;46017
2006;111,5;4,6;4,6;209767;1,5;1,5;235843;49472
2007;116,2;4,2;4,2;202401;-3,5;-3,5;248325;50261
2008;119,7;3;3;182392;-9,9;-9,9;254918;46495
2009;115,6;-3,4;-3,4;127532;-30,1;-30,1;238259;30386
2010;113;-2,2;-2,2;126127;-1,1;-1,1;239530;30211
2011;110,3;-2,4;-2,4;120739;-4,3;-4,3;240059;28984
2012;103,1;-6,5;-6,5;117261;-2,9;-2,9;226661;26578
2013;96,4;-6,6;-6,6;110094;-6,1;-6,1;213353;23489
2014;97,2;0,9;0,9;153511;39,4;39,4;222218;34113
2015;100;2,8;2,8;178293;16,1;16,1;230194;41042
2016;105;5;5;214793;20,5;20,5;243837;52374
2017;113;7,6;7,6;241860;12,6;12,6;263295;63680
Bron: Centraal Bureau voor de Statistiek, Kadaster;;;;;;;;