Title,Rating,Genre,Runtime,Actors
Koombiyo,9.9,"Crime,Drama,Thriller",20,"Thumindu Dodantenne,Kalana Gunasekara,Yureni Noshika,Andrew Pulle"
The Filthy Frank Show,9.8,"Short,Comedy,Fantasy",12,"George 'Joji' Miller,Artemis Holdenberry,Zeeq,Bloody Hairy"
Game of Thrones,9.5,"Action,Adventure,Drama",57,"Emilia Clarke,Peter Dinklage,Kit Harington,Lena Headey"
Breaking Bad,9.5,"Crime,Drama,Thriller",49,"Bryan Cranston,Aaron Paul,Anna Gunn,Betsy Brandt"
Rick and Morty,9.3,"Animation,Adventure,Comedy",23,"Chris Parnell,Spencer Grammer,Sarah Chalke,Justin Roiland"
The Wire,9.3,"Crime,Drama,Thriller",59,"Dominic West,Lance Reddick,Sonja Sohn,Wendell Pierce"
TVF Pitchers,9.3,"Comedy,Drama",40,"Naveen Kasturia,Arunabh Kumar,Jitendra Kumar,Abhay Mahajan"
Sherlock,9.2,"Crime,Drama,Mystery",88,"Benedict Cumberbatch,Martin Freeman,Una Stubbs,Rupert Graves"
The Sopranos,9.2,"Crime,Drama",55,"James Gandolfini,Lorraine Bracco,Edie Falco,Michael Imperioli"
Avatar: The Last Airbender,9.2,"Animation,Action,Adventure",23,"Dee Bradley Baker,Zach Tyler,Mae Whitman,Jack De Sena"
The World at War,9.2,"Documentary,History,War",52,"Laurence Olivier,Anthony Eden,Averell Harriman,Albert Speer"
Leyla ile Mecnun,9.2,"Adventure,Comedy,Drama",80,"Ali Atay,Cengiz Bozkurt,Serkan Keskin,Osman Sonant"
Firefly,9.1,"Adventure,Drama,Sci-Fi",44,"Nathan Fillion,Gina Torres,Alan Tudyk,Morena Baccarin"
Hagane no renkinjutsushi,9.1,"Animation,Action,Adventure",24,"Kent Williams,Iemasa Kayumi,Muriel Hofmann,Lili Troncale"
Stranger Things,9.0,"Drama,Fantasy,Horror",51,"Millie Bobby Brown,Finn Wolfhard,Winona Ryder,David Harbour"
Fargo,9.0,"Crime,Drama,Thriller",53,"Billy Bob Thornton,Martin Freeman,Allison Tolman,Colin Hanks"
True Detective,9.0,"Crime,Drama,Mystery",55,"Vince Vaughn,Colin Farrell,Rachel McAdams,Taylor Kitsch"
The Twilight Zone,9.0,"Fantasy,Horror,Mystery",51,"Rod Serling,Robert McCord,Jay Overholts,Vaughn Taylor"
Death Note: Desu nôto,9.0,"Animation,Crime,Drama",24,"Mamoru Miyano,Brad Swaile,Vincent Tong,Ryô Naitô"
Last Week Tonight with John Oliver,9.0,"Comedy,News,Talk-Show",30,"John Oliver,David Kaye,Noel MacNeal,Alberto Bonilla"
One Punch Man: Wanpanman,9.0,"Animation,Action,Comedy",24,"Makoto Furukawa,Max Mittelman,Kaito Ishikawa,Zach Aguilar"
Batman: The Animated Series,9.0,"Animation,Action,Adventure",23,"Kevin Conroy,Loren Lester,Efrem Zimbalist Jr.,Robert Hastings"
Black Mirror,8.9,"Drama,Sci-Fi,Thriller",60,"Daniel Lapaine,Hannah John-Kamen,Michaela Coel,Beatrice Robertson-Jones"
Friends,8.9,"Comedy,Romance",22,"Jennifer Aniston,Courteney Cox,Lisa Kudrow,Matt LeBlanc"
Westworld,8.9,"Drama,Mystery,Sci-Fi",62,"Evan Rachel Wood,Jeffrey Wright,Ed Harris,Thandie Newton"
Narcos,8.9,"Biography,Crime,Drama",49,"Pedro Pascal,Wagner Moura,Boyd Holbrook,Alberto Ammann"
The Marvelous Mrs. Maisel,8.9,"Comedy,Drama",57,"Rachel Brosnahan,Alex Borstein,Michael Zegen,Marin Hinkle"
House of Cards,8.9,Drama,51,"Kevin Spacey,Michel Gill,Robin Wright,Kate Mara"
Seinfeld,8.9,Comedy,22,"Jerry Seinfeld,Julia Louis-Dreyfus,Michael Richards,Jason Alexander"
Arrested Development,8.9,Comedy,489,"Jason Bateman,Michael Cera,Portia de Rossi,Will Arnett"
Gravity Falls,8.9,"Animation,Adventure,Comedy",23,"Jason Ritter,Alex Hirsch,Kristen Schaal,Linda Cardellini"
Only Fools and Horses....,8.9,Comedy,95,"David Jason,Nicholas Lyndhurst,Roger Lloyd Pack,Buster Merryfield"
Kaubôi bibappu,8.9,"Animation,Action,Adventure",24,"Kôichi Yamadera,Unshô Ishizuka,Megumi Hayashibara,Steve Blum"
Monty Python's Flying Circus,8.9,Comedy,30,"Graham Chapman,John Cleese,Terry Gilliam,Eric Idle"
Pod prikritie,8.9,"Action,Crime,Drama",60,"Ivaylo Zahariev,Zachary Baharov,Vladimir Penev,Marian Valev"
This Is Us,8.8,"Comedy,Drama",45,"Milo Ventimiglia,Mandy Moore,Sterling K. Brown,Chrissy Metz"
Peaky Blinders,8.8,"Crime,Drama",60,"Cillian Murphy,Paul Anderson,Helen McCrory,Sophie Rundle"
La casa de papel,8.8,"Action,Crime,Mystery",70,"Úrsula Corberó,Itziar Ituño,Álvaro Morte,Paco Tous"
The Office,8.8,Comedy,22,"Steve Carell,Jenna Fischer,John Krasinski,Rainn Wilson"
The Punisher,8.8,"Action,Adventure,Crime",53,"Jon Bernthal,Amber Rose Revah,Ebon Moss-Bachrach,Ben Barnes"
It's Always Sunny in Philadelphia,8.8,Comedy,22,"Charlie Day,Glenn Howerton,Rob McElhenney,Kaitlin Olson"
House M.D.,8.8,"Drama,Mystery",44,"Hugh Laurie,Omar Epps,Robert Sean Leonard,Jesse Spencer"
The Simpsons,8.8,"Animation,Comedy",22,"Dan Castellaneta,Nancy Cartwright,Julie Kavner,Yeardley Smith"
The Grand Tour,8.8,"Comedy,Talk-Show",60,"Jeremy Clarkson,James May,Richard Hammond,Mike Skinner"
Twin Peaks,8.8,"Crime,Drama,Mystery",47,"Kyle MacLachlan,Michael Ontkean,Mädchen Amick,Dana Ashbrook"
The West Wing,8.8,Drama,44,"Martin Sheen,Rob Lowe,Allison Janney,John Spencer"
Freaks and Geeks,8.8,"Comedy,Drama",44,"Linda Cardellini,John Francis Daley,James Franco,Samm Levine"
Shingeki no kyojin,8.8,"Animation,Action,Adventure",24,"Yûki Kaji,Marina Inoue,Josh Grelle,Bryce Papenbrook"
Rome,8.8,"Action,Drama,History",90,"Kevin McKidd,Ray Stevenson,Polly Walker,Kerry Condon"
Oz,8.8,"Crime,Drama,Thriller",55,"Ernie Hudson,J.K. Simmons,Lee Tergesen,Dean Winters"
